user_id,name,age,home_city,persona,preferred_categories,preferred_budget
107,Rakib,26,Barishal,Jungle Junkie,forest|wetland,low
108,Rezwan,22,Rajshahi,Chai & Chill,tea-garden,low
109,Ayesha,23,Rangpur,Cloud Chaser,hill,medium
110,Priyo,26,Rajshahi,Jungle Junkie,forest|wetland,high
111,Arnob,18,Chattogram,Waterfall Hunter,waterfall,low
112,Farhan,24,Dhaka,Street Food Explorer,urban,low
113,Tasnim,22,Rajshahi,Cloud Chaser,hill,high
114,Zayan,20,Rangpur,Chai & Chill,tea-garden,high
115,Proma,20,Khulna,Heritage Nerd,heritage,low
116,Sabbir,26,Rangpur,Heritage Nerd,heritage,high
117,Arnob,26,Dhaka,Jungle Junkie,forest|wetland,low
118,Ayesha,18,Sylhet,Chai & Chill,tea-garden,low
119,Shuvo,25,Dhaka,Beach Baddie,beach|island,high
